DATE,spindx
19640203,76.97
19640204,76.88
19640205,76.75
19640206,76.93
19640207,77.18
19640210,77.05
19640211,77.33
19640212,77.57
19640213,77.52
19640214,77.48
19640217,77.46
19640218,77.47
19640219,77.55
19640220,77.62
19640224,77.68
19640225,77.68
19640226,77.87
19640227,77.62
19640228,77.80
19640302,77.97
19640303,78.22
19640304,78.07
19640305,78.06
19640306,78.31
19640309,78.33
19640310,78.59
19640311,78.95
19640312,79.08
19640313,79.14
19640316,79.14
19640317,79.32
19640318,79.38
19640319,79.30
19640320,78.92
19640323,78.93
19640324,78.79
19640325,78.97
19640326,79.19
19640330,79.14
19640331,78.98
19640401,79.24
19640402,79.70
19640403,79.94
19640406,80.02
19640407,79.74
19640408,79.75
19640409,79.70
19640410,79.85
19640413,79.77
19640414,79.99
19640415,80.09
19640416,80.20
19640417,80.55
19640420,80.50
19640421,80.54
19640422,80.49
19640423,80.38
19640424,79.75
19640427,79.35
19640428,79.90
19640429,79.70
19640430,79.46
19640501,80.17
19640504,80.47
19640505,80.88
19640506,81.06
19640507,81.15
19640508,81.00
19640511,80.90
19640512,81.16
19640513,80.97
19640514,80.86
19640515,81.01
19640518,80.72
19640519,80.30
19640520,80.66
19640521,80.70
19640522,80.73
19640525,80.56
19640526,80.39
19640527,80.26
19640528,80.37
19640601,80.11
19640602,79.70
19640603,79.49
19640604,78.67
19640605,79.02
19640608,78.64
19640609,79.14
19640610,79.44
19640611,79.73
19640612,79.60
19640615,79.97
19640616,80.40
19640617,80.81
19640618,80.79
19640619,80.89
19640622,81.11
19640623,80.77
19640624,81.06
19640625,81.21
19640626,81.46
19640629,81.64
19640630,81.69
19640701,82.27
19640702,82.60
19640706,82.98
19640707,83.12
19640708,83.12
19640709,83.22
19640710,83.36
19640713,83.31
19640714,83.06
19640715,83.34
19640716,83.64
19640717,84.01
19640720,83.74
19640721,83.54
19640722,83.52
19640723,83.48
19640724,83.46
19640727,83.08
19640728,82.85
19640729,82.92
19640730,83.09
19640731,83.18
19640803,83.00
19640804,81.96
19640805,82.09
19640806,81.34
19640807,81.86
19640810,81.78
19640811,81.76
19640812,82.17
19640813,82.41
19640814,82.35
19640817,82.36
19640818,82.40
19640819,82.32
19640820,81.94
19640821,82.07
19640824,81.91
19640825,81.44
19640826,81.32
19640827,81.70
19640828,81.99
19640831,81.83
19640901,82.18
19640902,82.31
19640903,82.56
19640904,82.76
19640908,82.87
19640909,83.05
19640910,83.10
19640911,83.45
19640914,83.22
19640915,83.00
19640916,83.24
19640917,83.79
19640918,83.48
19640921,83.86
19640922,83.89
19640923,83.91
19640924,84.00
19640925,84.21
19640928,84.28
19640929,84.24
19640930,84.18
19641001,84.08
19641002,84.36
19641005,84.74
19641006,84.79
19641007,84.80
19641008,85.04
19641009,85.22
19641012,85.24
19641013,84.96
19641014,84.79
19641015,84.25
19641016,84.83
19641019,84.93
19641020,85.18
19641021,85.10
19641022,84.94
19641023,85.14
19641026,85.00
19641027,85.00
19641028,84.69
19641029,84.73
19641030,84.86
19641102,85.18
19641104,85.14
19641105,85.16
19641106,85.23
19641109,85.19
19641110,84.84
19641111,85.08
19641112,85.19
19641113,85.21
19641116,85.65
19641117,86.03
19641118,86.22
19641119,86.18
19641120,86.28
19641123,86.00
19641124,85.73
19641125,85.44
19641127,85.16
19641130,84.42
19641201,83.55
19641202,83.79
19641203,84.18
19641204,84.35
19641207,84.33
19641208,84.00
19641209,83.46
19641210,83.45
19641211,83.66
19641214,83.45
19641215,83.22
19641216,83.55
19641217,83.90
19641218,84.29
19641221,84.38
19641222,84.33
19641223,84.15
19641224,84.15
19641228,84.07
19641229,83.81
19641230,84.30
19641231,84.75
19650104,84.23
19650105,84.63
19650106,84.89
19650107,85.26
19650108,85.37
19650111,85.40
19650112,85.61
19650113,85.84
19650114,85.84
19650115,86.21
19650118,86.49
19650119,86.63
19650120,86.60
